Name,Code,Region,State,Year,Month,Visit,Latitude,Longitude
Acadia NP,ACAD,Northeast ,ME,2000,7,547929,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2000,8,594904,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2000,9,378135,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2000,10,253626,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2000,11,33693,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2000,12,14961,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2001,1,18090,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2001,2,23926,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2001,3,35473,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2001,4,76007,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2001,5,157353,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2001,6,325242,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2001,7,558641,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2001,8,630240,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2001,9,377456,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2001,10,257280,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2001,11,41353,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2001,12,15490,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2002,1,15309,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2002,2,25071,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2002,3,34498,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2002,4,72528,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2002,5,163145,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2002,6,325441,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2002,7,571119,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2002,8,636824,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2002,9,392531,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2002,10,271312,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2002,11,36589,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2002,12,14205,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2003,1,22917,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2003,2,21993,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2003,3,34274,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2003,4,68444,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2003,5,135443,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2003,6,309230,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2003,7,547836,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2003,8,595191,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2003,9,376060,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2003,10,262412,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2003,11,44294,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2003,12,12968,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2004,1,11861,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2004,2,14266,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2004,3,20952,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2004,4,60180,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2004,5,134597,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2004,6,305134,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2004,7,471406,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2004,8,524675,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2004,9,357146,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2004,10,261284,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2004,11,34125,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2004,12,12221,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2005,1,10810,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2005,2,11831,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2005,3,18917,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2005,4,59773,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2005,5,110330,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2005,6,275175,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2005,7,468512,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2005,8,519350,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2005,9,321070,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2005,10,207599,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2005,11,37101,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2005,12,11016,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2006,1,13494,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2006,2,12924,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2006,3,21695,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2006,4,59034,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2006,5,120889,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2006,6,244333,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2006,7,476631,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2006,8,506833,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2006,9,330649,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2006,10,249850,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2006,11,33903,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2006,12,13353,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2007,1,12415,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2007,2,11068,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2007,3,19220,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2007,4,61775,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2007,5,132152,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2007,6,273765,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2007,7,461894,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2007,8,544892,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2007,9,371217,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2007,10,263311,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2007,11,41449,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2007,12,9070,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2008,1,10744,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2008,2,11131,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2008,3,17489,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2008,4,53798,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2008,5,125679,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2008,6,263542,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2008,7,470295,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2008,8,514443,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2008,9,319582,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2008,10,246533,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2008,11,32759,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2008,12,9862,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2009,1,9366,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2009,2,9751,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2009,3,19258,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,2009,4,59277,44.35,-68.21
